,Name,Mean,Range,Sd,Sum
0,01Porpoise_BalticBlekinge.tif,0.4858033720100782,1.0,0.2504684305819651,30335.019958425313
1,02Porpoise_BeltseaBlekinge.tif,0.0006871866989236065,0.029999999329447746,0.00309365257565289,42.90999904088676
2,03Grey_SealsBlekinge.tif,0.37556267180320846,0.5699999928474426,0.18763647903981695,23451.259915407747
3,04Harbour_SealsBlekinge.tif,0.15549973542619105,0.800000011920929,0.22106481611832618,9709.869979217649
4,05Blue_Mussel_HabitatBlekinge.tif,0.06998382524862674,1.0,0.25512179796505874,4370.0
5,20AngiospermsBlekinge.tif,0.01813910284412345,1.0,0.09987558026108989,1132.6599988956004
6,25Rivermouth_FishBlekinge.tif,0.0013441058197642874,0.7099999785423279,0.02188349676552625,83.9299997035414
7,26Eel_MigrationBlekinge.tif,0.14428358671026453,0.4399999976158142,0.1336773948555269,9009.500004949048
8,27Seabird_Winter_CoastalBlekinge.tif,0.03323479017169021,1.0,0.11709480298700112,2075.2800026908517
9,28Seabird_Winter_OffshoreBlekinge.tif,0.06873468576650946,0.3700000047683716,0.08180024678670336,4291.99998331815
10,37Anoxia_BackgroundBlekinge.tif,0.09331566397435792,0.27000001072883606,0.03284935582639577,5826.910005550832
11,37Anoxia_BackgroundBlekinge.tif.aux.xml,0.0,0.0,0.0,0.0
