Name,Mean,Range,SumList,Sd,Area_m2
01Porpoise_Baltic_Bottenviken.tif,0.0005899659684728457,0.5699999928474426,487.66999930143356,0.0114418445259867,51662937500
01Porpoise_Baltic_EgentligaOstersjonPatched.tif,0.043666963834966474,1.0,198819.17969770916,0.12897510408695403,284567500000
01Porpoise_Baltic_Vasthavet.tif,0.0,0.0,0.0,0.0,14289312500
02Porpoise_Beltsea_Bottenviken.tif,0.0,0.0,0.0,0.0,51662937500
02Porpoise_Beltsea_EgentligaOstersjonPatched.tif,0.0012641991795526812,0.6899999976158142,5756.000000437722,0.013064875442507107,284567500000
02Porpoise_Beltsea_Vasthavet.tif,0.09557164656493321,0.6899999976158142,21850.449982494116,0.16835018528292475,14289312500
03Grey_Seals_Bottenviken.tif,0.13785803854447648,0.7900000214576721,113954.41966713406,0.19543713765463266,51662937500
03Grey_Seals_EgentligaOstersjonPatched.tif,0.0658487506557169,1.0,299814.62963553146,0.18651544035666057,284567500000
03Grey_Seals_Vasthavet.tif,0.009756723713550292,0.5899999737739563,2230.6699859052896,0.06669384968798098,14289312500
04Harbour_Seals_Bottenviken.tif,0.0,0.0,0.0,0.0,51662937500
04Harbour_Seals_EgentligaOstersjonPatched.tif,0.008520383982402853,0.8600000143051147,38793.98990259878,0.06362095906751739,284567500000
04Harbour_Seals_Vasthavet.tif,0.5314195483086716,1.0,121497.91991026327,0.2929595603048055,14289312500
05Blue_Mussel_Habitat_Bottenviken.tif,0.006002852625249968,1.0,4962.0,0.07724523029977108,51662937500
05Blue_Mussel_Habitat_EgentligaOstersjonPatched.tif,0.002477004577121421,1.0,11278.0,0.049707842118999035,284567500000
05Blue_Mussel_Habitat_Vasthavet.tif,0.017307515669490747,1.0,3957.0,0.13041487630741488,14289312500
20Angiosperms_Bottenviken.tif,0.010156301598165529,1.0,8395.269995154813,0.07526533932750094,51662937500
20Angiosperms_EgentligaOstersjonPatched.tif,0.0022652819614435217,1.0,10314.00999300927,0.03395169919794343,284567500000
20Angiosperms_Vasthavet.tif,0.008515673852676067,1.0,1946.9299972634763,0.06917714354557995,14289312500
25Rivermouth_Fish_Bottenviken.tif,0.0005999344300619032,0.7699999809265137,495.9099994301796,0.013568943840382989,51662937500
25Rivermouth_Fish_EgentligaOstersjonPatched.tif,8.94844806417927e-05,0.949999988079071,407.42999912053347,0.005632241723681382,284567500000
25Rivermouth_Fish_Vasthavet.tif,0.002954918229132009,1.0,675.579999808222,0.038081468069930804,14289312500
26Eel_Migration_Bottenviken.tif,0.0023255307020546,0.03999999910593033,1922.2999570332468,0.007002309962922308,51662937500
26Eel_Migration_EgentligaOstersjonPatched.tif,0.00903223313005137,0.8199999928474426,41124.48001977429,0.04483466011631143,284567500000
26Eel_Migration_Vasthavet.tif,0.22262551978284767,1.0,50898.64996243268,0.27942177766754156,14289312500
27Seabird_Winter_Coastal_Bottenviken.tif,4.309181835317894e-05,0.6499999761581421,35.61999869346619,0.004434667810101909,51662937500
27Seabird_Winter_Coastal_EgentligaOstersjonPatched.tif,0.0046491034556848795,1.0,21167.739962009713,0.04278936282190556,284567500000
27Seabird_Winter_Coastal_Vasthavet.tif,0.045886042513340525,1.0,10490.880013782531,0.12165333889203532,14289312500
28Seabird_Winter_Offshore_Bottenviken.tif,0.005467023617042696,0.4300000071525574,4519.079991012812,0.026838463580533885,51662937500
28Seabird_Winter_Offshore_EgentligaOstersjonPatched.tif,0.029750992690036386,1.0,135458.64979715087,0.0978512827933035,284567500000
28Seabird_Winter_Offshore_Vasthavet.tif,0.04988033003190083,0.7799999713897705,11404.089974863455,0.1158326021247616,14289312500
